S no,ID,Original_Language,original_title,Release_Date,IMDB Ratings ,Vote_Count,Genre,Overview,Revenue(in $),Runtime(in min),Tagline
22,451048,en,jungle cruise,28-07-2021,7.8,3111,"['Adventure', 'Fantasy', 'Comedy', 'Action']","Dr. Lily Houghton enlists the aid of wisecracking skipper Frank Wolff to take her down the Amazon in his dilapidated boat. Together, they search for an ancient tree that holds the power to heal â€“ a discovery that will change the future of medicine.","$214,000,000.00",127,Only one adventure gets this wild
23,508943,en,luca,17-06-2021,8,5020,"['Animation', 'Comedy', 'Family', 'Fantasy']",Luca and his best friend Alberto experience an unforgettable summer on the Italian Riviera. But all the fun is threatened by a deeply-held secret: they are sea monsters from another world just below the waterâ€™s surface.,"$49,010,641.00",95,"This summer, you're invited to Portorosso"
24,497698,en,black widow,07-07-2021,7.7,5823,"['Action', 'Adventure', 'Science Fiction']","Natasha Romanoff, also known as Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.","$378,000,000.00",134,Her world. Her secrets. Her legacy.
25,760195,en,separation,30-04-2021,6,77,['Horror'],A young girl finds solace in her artist father and the ghost of her dead mother.,$0.00,107,It won't let go.
26,675445,en,paw patrol: the movie,09-08-2021,7.7,660,"['Animation', 'Family', 'Adventure', 'Comedy']",Ryder and the pups are called to Adventure City to stop Mayor Humdinger from turning the bustling metropolis into a state of chaos.,"$121,000,000.00",86,Our fate is in their paws.
27,744275,en,after we fell,01-09-2021,7.4,766,"['Romance', 'Drama']","Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family.","$19,000,000.00",99,There is a big difference between not being able to live without someone and loving them
28,839436,en,dragon fury,15-06-2021,6,21,"['Horror', 'Fantasy', 'Mystery']",A group of soldiers are taken to the mountains of Wales to investigate a strange beast.,$0.00,88,They thought they could control it. They were wrong!
29,864873,en,hypnotic,27-10-2021,6.2,214,"['Thriller', 'Drama', 'Horror']","A young woman seeking self-improvement enlists the help of a renowned hypnotist but, after a handful of intense sessions, discovers unexpected and deadly consequences.",$0.00,88,His wish is her command.
30,354912,en,coco,27-10-2017,8.2,14756,"['Family', 'Animation', 'Fantasy', 'Music', 'Comedy', 'Adventure']","Despite his familyâ€™s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.","$801,000,000.00",105,The celebration of a lifetime
31,812204,en,rock dog 2: rock around the park,24-06-2021,7.6,25,"['Animation', 'Comedy', 'Music', 'Family']","When Bodi and his band 'True Blue' leave Snow Mountain, to tour with pop sensation, Lil' Foxy, they learn that fame comes at a price.","$1,053,542.00",90,Only by staying true to yourself can you unleash the power of rock 'n' roll!
32,379686,en,space jam: a new legacy,08-07-2021,7.3,2550,"['Animation', 'Comedy', 'Family', 'Science Fiction']","When LeBron and his young son Dom are trapped in a digital space by a rogue A.I., LeBron must get them home safe by leading Bugs, Lola Bunny and the whole gang of notoriously undisciplined Looney Tunes to victory over the A.I.'s digitized champions on the court. It's Tunes versus Goons in the highest-stakes challenge of his life.","$149,000,000.00",115,Welcome to the Jam!
33,637649,en,wrath of man,22-04-2021,7.8,2598,"['Action', 'Crime', 'Thriller']","A cold and mysterious new security guard for a Los Angeles cash truck company surprises his co-workers when he unleashes precision skills during a heist. The crew is left wondering who he is and where he came from. Soon, the marksman's ultimate motive becomes clear as he takes dramatic and irrevocable steps to settle a score.","$104,000,000.00",119,A one man army.
34,524369,en,the many saints of newark,22-09-2021,6.8,201,"['Crime', 'Drama']","Young Anthony Soprano is growing up in one of the most tumultuous eras in Newark, N.J., history, becoming a man just as rival gangsters start to rise up and challenge the all-powerful DiMeo crime family. Caught up in the changing times is the uncle he idolizes, Dickie Moltisanti, whose influence over his nephew will help shape the impressionable teenager into the all-powerful mob boss, Tony Soprano.","$11,620,603.00",120,Who made Tony Soprano?
35,777620,en,caged,26-01-2021,6.6,39,"['Thriller', 'Horror']","An African American male is imprisoned and placed in solitary confinement after being found guilty of murdering his wife, as he's haunted by internal demons and his dead wife, and pushed to the breaking point by an abusive female guard.",$0.00,81,There is no getting out.
36,831405,en,injustice,09-10-2021,8,339,"['Animation', 'Science Fiction', 'Fantasy', 'Action']","When Lois Lane is killed, an unhinged Superman decides to take control of the Earth. Determined to stop him, Batman creates a team of freedom-fighting heroes. But when superheroes go to war, can the world survive?","$2,742,252.00",78,Who will stand against The Man Of Steel?
37,681887,en,cosmic sin,12-03-2021,4.4,363,['Science Fiction'],"In the year 2524, four centuries after humans started colonizing the outer planets, retired General James Ford gets called back into service when a hostile alien fleet attacks soldiers on a remote planet. The threat against mankind soon escalates into an interstellar war as Ford and a team of elite soldiers try to stop the imminent attack before it's too late.",$0.00,88,First contact has been made. It's war.
38,337404,en,cruella,26-05-2021,8.3,5879,"['Comedy', 'Crime']","In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estellaâ€™s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.","$233,000,000.00",134,Hello Cruel World
39,460465,en,mortal kombat,07-04-2021,7.3,4000,"['Action', 'Fantasy', 'Adventure']","Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.","$83,601,013.00",110,Get over here.
40,774021,en,demonic,29-07-2021,4.9,74,"['Horror', 'Thriller']",A young woman unleashes terrifying demons when supernatural forces at the root of a decades-old rift between mother and daughter are ruthlessly revealed.,$0.00,104,"It's not a dream, it's not reality."
41,588228,en,the tomorrow war,02-07-2021,8.1,4522,"['Action', 'Science Fiction', 'Adventure']","The world is stunned when a group of time travelers arrive from the year 2051 to deliver an urgent message: Thirty years in the future, mankind is losing a global war against a deadly alien species. The only hope for survival is for soldiers and civilians from the present to be transported to the future and join the fight. Among those recruited is high school teacher and family man Dan Forester. Determined to save the world for his young daughter, Dan teams up with a brilliant scientist and his estranged father in a desperate quest to rewrite the fate of the planet.",$0.00,138,The fight for tomorrow begins today.
42,581726,en,infinite,09-09-2021,6.9,553,"['Science Fiction', 'Action', 'Thriller']","Evan McCauley has skills he never learned and memories of places he has never visited. Self-medicated and on the brink of a mental breakdown, a secret group that call themselves â€œInfinitesâ€ come to his rescue, revealing that his memories are real.",$0.00,106,Many lives. Unlimited potential.
43,631843,en,old,21-07-2021,6.7,1593,"['Thriller', 'Mystery', 'Horror']",A group of families on a tropical holiday discover that the secluded beach where they are staying is somehow causing them to age rapidly â€“ reducing their entire lives into a single day.,"$89,500,000.00",108,It's only a matter of time.
44,588921,en,ainbo: spirit of the amazon,09-02-2021,7.2,220,"['Adventure', 'Animation', 'Family', 'Fantasy']","An epic journey of a young hero and her Spirit Guides, 'Dillo' a cute and humorous armadillo and ""Vaca"" a goofy oversized tapir, who embark on a quest to save their home in the spectacular Amazon Rainforest.","$11,096,896.00",84,A world of adventure awaits you
45,375211,en,marvel knights: eternals,16-09-2014,5.6,5,['Animation'],"You are thousands of years old. You have amazing powers. You have watched civilizations rise and fall. So why does no one remember any of this? Best-selling author, Neil Gaiman (Marvel: 1602) is joined by superstar artist, John Romita. Jr. (Amazing Spider-Man), to bring you the extraordinary tale of The Eternals. Medical student Mark Curry's world is turned upside-down when he meets Ike Harris, a man who believes that he is part of a centuries-old race of super-powered beings put here on Earth by aliens to preserve and safeguard the planet â€” and even crazier, tried to convince Mark that he is one too.","$239,388.00",118,The end was just the beginning
46,791373,en,zack snyder's justice league,18-03-2021,8.4,6803,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.","$657,000,000.00",242,Unite the League. You can't save the world alone.
47,370172,en,no time to die,29-09-2021,7.4,1209,"['Adventure', 'Action', 'Thriller']","Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.","$667,000,000.00",163,The mission that changes everything beginsâ€¦
48,706972,en,narco sub,22-01-2021,7.1,59,"['Action', 'Drama', 'Crime']","A man will become a criminal to save his family. Director: Shawn Welling Writer: Derek H. Potts Stars: Tom Vera, Tom Sizemore, Lee Majors |",$0.00,93,A man will become a criminal to save his family.
49,669671,en,night teeth,20-10-2021,6.8,299,"['Horror', 'Thriller', 'Action']","A college student moonlighting as a chauffeur picks up two mysterious women for a night of party-hopping across LA. But when he uncovers their bloodthirsty intentions - and their dangerous, shadowy underworld - he must fight to stay alive.",$0.00,107,Paint the town red.
50,503736,en,army of the dead,14-05-2021,6.4,2514,"['Action', 'Adventure', 'Crime', 'Horror']","Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble: venturing into the quarantine zone to pull off the greatest heist ever attempted.","$780,000.00",148,Survivors take all.
51,19995,en,avatar,10-12-2009,7.5,24280,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","$2,850,000,000.00",162,Enter the World of Pandora.
52,619297,en,sweet girl,18-08-2021,6.9,697,['Action'],"A devastated husband vows to bring justice to the people responsible for his wife's death while protecting the only family he has left, his daughter.",$0.00,110,Family fights as one.
53,399566,en,godzilla vs. kong,24-03-2021,7.9,7185,"['Action', 'Adventure', 'Fantasy']","In a time when monsters walk the Earth, humanityâ€™s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.","$468,000,000.00",113,One Will Fall
54,767304,en,redemption day,08-01-2021,6.7,150,['Action'],"Having just returned home, decorated U.S. Marine Captain Brad Paxton's wife, Kate, is kidnapped by a terrorist group while working in Morocco. He is forced back into action for a daring and deadly operation to save the woman he loves.",$0.00,100,Taking his wife was their last mistake.
55,482373,en,don't breathe 2,12-08-2021,7.7,1114,"['Thriller', 'Horror']","The Blind Man has been hiding out for several years in an isolated cabin and has taken in and raised a young girl orphaned from a devastating house fire. Their quiet life together is shattered when a group of criminals kidnap the girl, forcing the Blind Man to leave his safe haven to save her.","$45,000,000.00",98,Bad things happen to bad people.
56,423108,en,the conjuring: the devil made me do it,25-05-2021,7.8,3856,"['Horror', 'Mystery', 'Thriller']","Paranormal investigators Ed and Lorraine Warren encounter what would become one of the most sensational cases from their files. The fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in U.S. history that a murder suspect would claim demonic possession as a defense.","$199,000,000.00",111,The demonic case that shocked America.
57,725273,en,solitary,31-08-2020,5.8,59,['Science Fiction'],"A man wakes up inside a room to discover he's a prisoner sent into space to form Earth's first colony, and worse - his cell mate Alana is hell bent on destroying everything.",$0.00,89,The greatest punishment imaginable.
58,859860,en,catch the bullet,10-09-2021,5.6,67,"['Western', 'Action']","U.S. marshal Britt MacMasters returns from a mission to find his father wounded and his son kidnapped by the outlaw Jed Blake. Hot on their trail, Britt forms a posse with a gunslinging deputy and a stoic Pawnee tracker. But Jed and Britt tread dangerously close to the Red Desertâ€™s Sioux territory.",$0.00,89,The sun never sets on vengeance.
59,825997,en,rogue hostage,11-06-2021,6.4,101,"['Action', 'Thriller']",A former Marine races against time to save a group of hostages -- including his young daughter and a congressman â€” when armed militants take over his stepfather's store.,$0.00,94,Free the hostages. Or everyone dies.
60,719164,en,women,08-04-2021,6.1,14,['Thriller'],A small town detective while investigating the disappearance of a local woman comes across an unassuming Sociology professor who is hiding a secret life.,$0.00,90,Don't Scream. Don't Run. Survive.
61,602223,en,the forever purge,30-06-2021,7.4,1396,"['Horror', 'Action', 'Thriller']",All the rules are broken as a sect of lawless marauders decides that the annual Purge does not stop at daybreak and instead should never end as they chase a group of immigrants who they want to punish because of their harsh historical past.,"$76,981,630.00",103,The rules are broken.
62,595743,en,sas: red notice,11-08-2021,6,259,"['Drama', 'Action', 'Thriller']","An off-duty SAS soldier, Tom Buckingham, must thwart a terror attack on a train running through the Channel Tunnel. As the action escalates on the train, events transpire in the corridors of power that may make the difference as to whether Buckingham and the civilian passengers make it out of the tunnel alive.","$146,329.00",120,Red notices have been issued for the black swans 
63,741636,en,bloodthirsty,23-04-2021,6.6,16,['Horror'],"When indie singer Grey struggles to write her sophomore album, she teams up with a mysterious producer at his secluded cabin. Though their bond strengthens her music, it also starts to irreparably alter Greyâ€™s body and mind.",$0.00,82,Ambition can be killer.
64,1930,en,the amazing spider-man,23-06-2012,6.6,13495,"['Action', 'Adventure', 'Fantasy']","Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance â€“ leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.","$758,000,000.00",136,The untold story begins.
65,848278,en,jurassic hunt,26-08-2021,5,153,"['Action', 'Science Fiction', 'Thriller']","Female adventurer Parker joins a crew of male trophy hunters in a remote wilderness park. Their goal: slaughter genetically recreated dinosaurs for sport using rifles, arrows, and grenades. After their guide is killed by raptors, the team tries to escape the park â€“ but the hunters quickly become the hunted. Even worse, the parkâ€™s manager suspects Parker of being a spy and sends a hit squad after her. This battleâ€™s about to become primitive!",$0.00,83,This time it's mankind that's going extinct.
66,13811,en,knowing,19-03-2009,6.1,4067,"['Action', 'Mystery', 'Science Fiction', 'Thriller']",A teacher opens a time capsule that has been dug up at his son's elementary school; in it are some chilling predictions -- some that have already occurred and others that are about to -- that lead him to believe his family plays a role in the events that are about to unfold.,"$155,000,000.00",121,What happens when the numbers run out?
67,512195,en,red notice,05-11-2021,7.4,19,"['Action', 'Comedy', 'Crime', 'Thriller']","An Interpol-issued Red Notice is a global alert to hunt and capture the world's most wanted. But when a daring heist brings together the FBI's top profiler and two rival criminals, there's no telling what will happen.",$0.00,116,Pro and cons.
68,843906,en,straight outta nowhere: scooby-doo! meets courage the cowardly dog,14-09-2021,8.3,221,"['Animation', 'Comedy', 'Mystery', 'Family', 'Fantasy']","With Mystery, Inc. on the tail of a strange object in Nowhere, Kansas, the strange hometown of Eustice, Muriel, and Courage, the gang soon find themselves contending with a giant cicada monster and her winged warriors.",$0.00,72,Ooga! Booga! Booga!
69,527774,en,raya and the last dragon,03-03-2021,8.1,4514,"['Family', 'Fantasy', 'Animation', 'Action', 'Adventure']","Long ago, in the fantasy world of Kumandra, humans and dragons lived together in harmony. But when an evil force threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, that same evil has returned and itâ€™s up to a lone warrior, Raya, to track down the legendary last dragon to restore the fractured land and its divided people.","$130,000,000.00",107,A quest to save her world.
70,299536,en,avengers: infinity war,25-04-2018,8.3,23027,"['Adventure', 'Action', 'Science Fiction']","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.","$2,050,000,000.00",149,An entire universe. Once and for all.
71,613504,en,after we collided,02-09-2020,7.3,4262,"['Romance', 'Drama']",Tessa finds herself struggling with her complicated relationship with Hardin; she faces a dilemma that could change their lives forever.,"$42,000,000.00",105,Can love overcome the past?
72,539885,en,ava,02-07-2020,5.7,1785,"['Action', 'Crime', 'Drama', 'Thriller']",A black ops assassin is forced to fight for her own survival after a job goes dangerously wrong.,"$2,987,741.00",96,Kill. Or be killed.
73,597316,en,my little pony: a new generation,23-09-2021,8.1,131,"['Animation', 'Family', 'Fantasy', 'Comedy', 'Music', 'Adventure']","Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals â€” and, hoof to heart, sheâ€™s determined to prove it.",$0.00,91,Ride or Fly
74,522444,en,black water: abyss,09-07-2020,5.1,284,"['Horror', 'Thriller', 'Adventure', 'Mystery']","An adventure-loving couple convince their friends to explore a remote, uncharted cave system in the forests of Northern Australia. With a tropical storm approaching, they abseil into the mouth of the cave, but when the caves start to flood, tensions rise as oxygen levels fall and the friends find themselves trapped. Unknown to them, the storm has also brought in a pack of dangerous and hungry crocodiles.",$0.00,98,Descend into fear
75,680319,en,we broke up,23-04-2021,5.7,12,['Comedy'],Lori and Doug break up right before Lori's sister's wedding and decide to pretend they're still together for the weekend as to not disrupt the fun.,"$15,063.00",82,Sometimes good things fall apart so better things can fall together
76,458576,en,monster hunter,03-12-2020,6.9,2236,"['Action', 'Fantasy', 'Adventure']","A portal transports Cpt. Artemis and an elite unit of soldiers to a strange world where powerful monsters rule with deadly ferocity. Faced with relentless danger, the team encounters a mysterious hunter who may be their only hope to find a way home.","$25,814,306.00",104,"Behind our world, there is another."
77,36419,en,after.life,07-11-2009,6.1,803,"['Drama', 'Horror', 'Mystery', 'Thriller']","Following a terrible car crash, a woman awakes to find an enigmatic mortician preparing her for burial.","$3,606,395.00",104,Life is the symptom. Death is the cure.
78,632357,en,the unholy,31-03-2021,6.9,1410,['Horror'],"Alice, a young hearing-impaired girl who, after a supposed visitation from the Virgin Mary, is inexplicably able to hear, speak and heal the sick. As word spreads and people from near and far flock to witness her miracles, a disgraced journalist hoping to revive his career visits the small New England town to investigate. When terrifying events begin to happen all around, he starts to question if these phenomena are the works of the Virgin Mary or something much more sinister.","$30,763,855.00",99,Be careful who you pray to.
79,597891,en,kate,10-09-2021,6.8,740,"['Action', 'Thriller']","After she's irreversibly poisoned, a ruthless criminal operative has less than 24 hours to exact revenge on her enemies and in the process forms an unexpected bond with the daughter of one of her past victims.",$0.00,106,There's no time for mercy.
80,482321,en,ron's gone wrong,15-10-2021,7.3,41,"['Animation', 'Science Fiction', 'Family', 'Comedy']","In a world where walking, talking, digitally connected bots have become children's best friends, an 11-year-old finds that his robot buddy doesn't quite work the same as the others do.","$46,000,000.00",106,Best Friend Forever* (*battery life may vary)
81,529203,en,the croods: a new age,25-11-2020,7.6,2621,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy']","Searching for a safer habitat, the prehistoric Crood family discovers an idyllic, walled-in paradise that meets all of its needs. Unfortunately, they must also learn to live with the Bettermans -- a family that's a couple of steps above the Croods on the evolutionary ladder. As tensions between the new neighbors start to rise, a new threat soon propels both clans on an epic adventure that forces them to embrace their differences, draw strength from one another, and survive together.","$168,000,000.00",95,The future ain't what it used to be.
82,734265,en,love hard,05-11-2021,6.6,170,"['Comedy', 'Romance']","An LA girl, unlucky in love, falls for an East Coast guy on a dating app and decides to surprise him for Christmas, only to discover that sheâ€™s been catfished. But the object of her affection actually lives in the same town, and the guy who duped her offers to set them up if she pretends to be his own girlfriend for the holidays.",$0.00,105,A romantic comedy about the lies we tell for love.
83,568124,en,encanto,24-11-2021,0,0,"['Family', 'Music', 'Adventure', 'Animation', 'Fantasy']","The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family with a unique gift from super strength to the power to healâ€”every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",$0.00,99,There's a little magic in all of us ...almost all of us.
84,324786,en,hacksaw ridge,07-10-2016,8.2,10136,"['Drama', 'History', 'War']","WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.","$175,000,000.00",139,One of the greatest heroes in American history never fired a bullet.
85,634528,en,the marksman,15-01-2021,7.1,950,"['Action', 'Thriller', 'Crime']","Jim Hansonâ€™s quiet life is suddenly disturbed by two people crossing the US/Mexico border â€“ a woman and her young son â€“ desperate to flee a Mexican cartel. After a shootout leaves the mother dead, Jim becomes the boyâ€™s reluctant defender. He embraces his role as Miguelâ€™s protector and will stop at nothing to get him to safety, as they go on the run from the relentless assassins.","$22,039,969.00",108,Justice comes down to him.
